"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","Metacog","=~","Strategy","",0.982437801578766,0.052538995943662,18.6992115843295,0,0.877024545022585,1.0875996173954
"2","Metacog","=~","Task","",0.563615051200578,0.0451292058510531,12.488920214124,0,0.468157712042153,0.647185875323319
"3","Metacog","=~","Character","",1.52084577631677,0.0679620992433226,22.3778516739415,0,1.38484473651483,1.65377578975299
"4","Metacog","=~","GlobalMovement","",0.589412823354023,0.0543884819990426,10.837089061695,0,0.481131703991252,0.697776952179871
"5","WoMem","=~","TaskSwitch","",0.880199558307296,0.0838291042843018,10.4999279882813,0,0.701308215504218,1.05003672452974
"6","WoMem","=~","StroopTask","",0.329058714348424,0.0471548054479349,6.9782647011819,2.988498337686e-12,0.235107468837887,0.426934702655254
"7","WoMem","=~","UpdatingTask","",0.861665151038634,0.081087744825316,10.6263301920023,0,0.717957516775242,1.04061220031652
"8","ExploreExploit","~","BreakTime","a1",0.883890232390876,0.0199859078361004,44.2256733914439,0,0.842604302889779,0.921743351857963
"9","ExploreExploit","~","Metacog","a2",-0.016137877753769,0.157089134616401,-0.102730706316363,0.918176702453209,-0.303633360510347,0.307372406057499
"10","EloScore","~","BreakTime","c1",0.394952723540722,0.0583733556545806,6.76597600243887,1.32414079700993e-11,0.281223389135525,0.514502056794814
"11","EloScore","~","Metacog","c2",-1.26965159167163,0.296598500057226,-4.28070806638153,1.86299614730601e-05,-1.84175112472926,-0.69359171158772
"12","EloScore","~","WoMem","",0.957107075758019,0.296401206243456,3.2290930522458,0.00124183481085494,0.393427617818156,1.57817474547727
"13","EloScore","~","ExploreExploit","b",0.516410746249417,0.0577364179829966,8.94428099785305,0,0.403495478931937,0.627424886586853
"14","Metacog","~~","Metacog","",1,0,NA,NA,1,1
"15","WoMem","~~","WoMem","",1,0,NA,NA,1,1
"16","Strategy","~~","Strategy","",0.988176604832382,0.0754277958924767,13.1009609009528,0,0.839231048083176,1.13496949155937
"17","Task","~~","Task","",0.960895768325858,0.0492866450779772,19.4960676833574,0,0.858420683818673,1.05530107732845
"18","Character","~~","Character","",0.990230408150823,0.150076945902133,6.59815138293501,4.1631587066604e-11,0.657172165458782,1.26329120004962
"19","GlobalMovement","~~","GlobalMovement","",1.61381652821395,0.077705652786428,20.7683285622667,0,1.4684219254985,1.77880003609356
"20","TaskSwitch","~~","TaskSwitch","",1.18962883436907,0.131876534600778,9.02077718352517,0,0.901788772252384,1.4243431177617
"21","StroopTask","~~","StroopTask","",1.00187876436107,0.0512726790056992,19.5402070613418,0,0.901776349723321,1.1060193879809
"22","UpdatingTask","~~","UpdatingTask","",0.884973443912212,0.135054332461739,6.55272161789347,5.64976954109397e-11,0.556231922383413,1.11787894946477
"23","ExploreExploit","~~","ExploreExploit","",16.1309674857016,0.853417648036491,18.9016099243027,0,14.3947443480313,17.7792421713955
"24","EloScore","~~","EloScore","",45.1268420674446,2.41898193397445,18.6553034702909,0,40.0888163879131,49.8990168552131
"25","Metacog","~~","WoMem","",0.199675185328677,0.0546294071320022,3.6550860756405,0.000257095704597976,0.0865237000914756,0.300568071984932
"26","BreakTime","~~","BreakTime","",45.2036343402603,0,NA,NA,45.2036343402603,45.2036343402603
"27","Strategy","~1","","",0.0719477488084737,0.0493187090929075,1.45883276614027,0.144611141832051,-0.0279947117864302,0.166158679098613
"28","Task","~1","","",-0.0830170698186403,0.0399542706060394,-2.07780216130617,0.0377275846918526,-0.15685549202593,-0.001116002516393
"29","Character","~1","","",-0.0317553182581169,0.0640032638192868,-0.496151545455214,0.619787494389863,-0.167138332850018,0.0927533686023344
"30","GlobalMovement","~1","","",0.0518834384692688,0.0496018370276671,1.04599832543156,0.295561805531782,-0.0454011539601776,0.149522719070407
"31","TaskSwitch","~1","","",-0.00941136638456035,0.0507831435546758,-0.185324612180173,0.852974434657909,-0.113763475685358,0.0964438842241203
"32","StroopTask","~1","","",-0.0349356643692127,0.0370263914447959,-0.943534138920872,0.345407761902575,-0.107704033956944,0.0387936229233741
"33","UpdatingTask","~1","","",0.0491147235939689,0.0455757206428515,1.07765105852852,0.28118950718665,-0.0355302914243688,0.137403793861774
"34","ExploreExploit","~1","","",6.45344585212893,0.431105183450793,14.9695389892373,0,5.61568912613017,7.33335064877657
"35","EloScore","~1","","",99.4214711462457,0.896334195319427,110.920091708444,0,97.6843627789261,101.233037633114
"36","BreakTime","~1","","",20.4157331157883,0,NA,NA,20.4157331157883,20.4157331157883
"37","Metacog","~1","","",0,0,NA,NA,0,0
"38","WoMem","~1","","",0,0,NA,NA,0,0
"39","ind1",":=","a1*b","ind1",0.456450414511543,0.0522270345464557,8.73973447804188,0,0.357795846971526,0.554378018192364
"40","ind2",":=","a2*b","ind2",-0.00833377349370571,0.0820638339203132,-0.101552329395164,0.919112019374735,-0.161156450248283,0.167415719966604
"41","tot1",":=","c1+(a1*b)","tot1",0.851403138052264,0.0373177308307127,22.8149761279578,0,0.780131826577069,0.926389338763752
"42","tot2",":=","c2+(a2*b)","tot2",-1.27798536516534,0.306453545102586,-4.17024174002467,3.04276701754702e-05,-1.86550678425365,-0.692079110945835
